input,mu_star,sigma,S1,ST
epsilon,0.7516267342143064,0.2772689591072788,0.8516733964898561,0.8826846692881102
w1,0.09001961126481012,0.15250640838578455,0.003625923850127082,0.01841967417471559
embed_dim,0.29384698918893687,0.1539028742706115,0.11272865467034685,0.13185248352143977
