task_config,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
ihm_decomp,42,1,0.8310489433301068,0.39198989691172104,1.3609046654930281,0.7067178011461116,6.1,1.0829914808273315,0.894814133644104,1.0,0.6860207556537414,0.2922494489426637,0.49588225714258344,0.10884494493317365,0.496192354970612
ihm_decomp,42,2,0.7556493940832313,0.37725256507053123,1.3599149329693556,0.7055414756312641,5.5,1.1287063360214233,0.8092184066772461,1.0,0.7048683653714793,0.3091837021618137,0.5016030297901692,0.11408710193141858,0.4964112052845489
ihm_decomp,42,3,0.7052020781945973,0.3699460030903462,1.3554784483784672,0.7045477102937656,5.5,1.1520936489105225,0.741400420665741,1.0,0.7217846063623127,0.33202077900492766,0.4772744448737641,0.1059424179536626,0.5013033852650391
ihm_decomp,42,4,0.6713630059921065,0.36334628732183616,1.3539457904199326,0.7063891965749483,5.5,1.160497784614563,0.6892998218536377,1.0,0.7395842704865865,0.3467628909912738,0.5503230009228598,0.12511046181365465,0.5011345958053165
ihm_decomp,42,5,0.6568915777591638,0.3625129819176603,1.3590355231772344,0.708418123066165,5.5,1.165164828300476,0.6526591181755066,1.0,0.73335449217123,0.3424101001103388,0.5338153066991956,0.1243323108779919,0.5010774314644583
ihm_decomp,42,6,0.6348772391221409,0.35663952616624955,1.3389853509753031,0.710710565335886,5.5,1.1588205099105835,0.6265372037887573,1.0,0.7533079427278573,0.36942810891576683,0.49609727176251317,0.10631353701247301,0.4982070487371736
ihm_decomp,42,7,0.6355297421003533,0.35576556167488016,1.3524850927065553,0.7117459407019303,5.5,1.1630626916885376,0.6108987331390381,1.0,0.7626511524069428,0.383799453324793,0.5070459865179446,0.10619515450196804,0.5003498350760167
ihm_decomp,42,8,0.6214837336904617,0.34769820470737056,1.3470437282037526,0.7109355314850286,5.5,1.1634224653244019,0.6002202033996582,1.0,0.7804870531236775,0.39017682820094435,0.5187398014414495,0.1183073896060551,0.502109493969733
ihm_decomp,42,9,0.6169596753005898,0.3427081105490439,1.3553692828619845,0.7092328272011603,5.5,1.1621413230895996,0.5921436548233032,1.0,0.7659932491644759,0.40910160032844456,0.5975101945669425,0.15089052574462997,0.5026839349946065
ihm_decomp,42,10,0.607049049768906,0.3460956409118061,1.3164312134143046,0.7122641911152668,5.5,1.1488826274871826,0.5896898508071899,1.0,0.7734371615835475,0.4072232431095275,0.6497906800742119,0.17328797095284476,0.49687313228955077
ihm_decomp,42,11,0.5882619775538882,0.3449604642052838,1.2717277402440534,0.7213896583261448,5.5,1.1354210376739502,0.5868814587593079,1.0,0.7751440300422179,0.40961336005996724,0.6846560457959853,0.17626664020585586,0.49365167479996946
ihm_decomp,42,12,0.5754776287287083,0.34289602447284884,1.2472207587879298,0.7299037698054418,5.5,1.119530439376831,0.58770352602005,1.0,0.7758296097110735,0.4165245347958252,0.685931231512202,0.17797803244849866,0.4945065633714643
ihm_decomp,42,13,0.5734723540893288,0.3403949073178279,1.2516127473402232,0.7292468586863389,5.5,1.1181026697158813,0.5845848917961121,1.0,0.780554528157915,0.4244608294783723,0.6851467474781021,0.1857917739523338,0.4958419265038703
ihm_decomp,42,14,0.5651830771864762,0.33651649138552653,1.2451167223755448,0.7228872479309681,5.5,1.1146337985992432,0.5817491412162781,1.0,0.7695011179197031,0.4240761974777617,0.6881713219460739,0.18499293878105866,0.49540545231215916
ihm_decomp,42,15,0.559878391079507,0.3362048083517749,1.2331997439850886,0.7227933799856094,5.5,1.1133688688278198,0.5809026956558228,1.0,0.781770744824415,0.43551242697760034,0.6843175574339176,0.18238274738671884,0.49523561057582005
ihm_decomp,42,16,0.5591241900837578,0.3360187418466052,1.2320998370907712,0.7227631096756615,5.5,1.1093847751617432,0.5805678963661194,1.0,0.7814725218335882,0.4111057383510688,0.6906690041523367,0.18412220495624548,0.4928223687694741
ihm_decomp,42,17,0.5665794605771527,0.3395120124108927,1.2375993293966268,0.7220985173658513,5.5,1.1120890378952026,0.5824750661849976,1.0,0.7791667083179223,0.42812462289440967,0.6901437085338451,0.19202797264257462,0.4962303961830362
ihm_decomp,42,18,0.5608307035989636,0.3357430130373443,1.2373077926677387,0.7214805663412835,5.5,1.1124322414398193,0.5802047252655029,1.0,0.7797065085918209,0.419418723265987,0.6890782152935003,0.19189785873512724,0.49363745656600083
ihm_decomp,42,19,0.5594571880898621,0.3351031019958346,1.2362532985262475,0.7205208716954726,5.5,1.1117122173309326,0.5790929794311523,1.0,0.7760145412863907,0.410936812829439,0.6934918693605231,0.19335547692327248,0.49397325922103247
ihm_decomp,42,20,0.5611565441023314,0.3406743118336107,1.220089150308001,0.7200259246159849,5.5,1.107534646987915,0.5818443298339844,1.0,0.7612649986171782,0.37469593573700266,0.6882357198891718,0.2001149605307525,0.4958288086934121
ihm_decomp,42,21,0.5583348538417483,0.33744686809429436,1.2249004138088644,0.720894027485077,5.5,1.1058419942855835,0.5802547335624695,1.0,0.7840290759085805,0.43253995560877595,0.6905423371237644,0.19556759001254617,0.49701999968563176
ihm_decomp,42,22,0.5592553628584183,0.33761197692962713,1.2265500793290451,0.7256445749357798,5.5,1.1093459129333496,0.5821833610534668,1.0,0.7839932558286766,0.42868737001790064,0.6891814648882191,0.18589876618050064,0.5008526127614309
ihm_decomp,42,23,0.548726761575349,0.33455430602402664,1.2117966832552414,0.7260570450641183,5.5,1.105597972869873,0.5804755091667175,1.0,0.7745892353162661,0.42723962036565677,0.6959693274193668,0.19220847686204712,0.5005199144119665
ihm_decomp,42,24,0.5500662593602093,0.3342962572798458,1.2161708148806376,0.7240955858251413,5.5,1.1081491708755493,0.5788037776947021,1.0,0.7811401448130859,0.436248717396986,0.6939517026071056,0.1920269759994527,0.5011284631386591
