model,site,task,epoch,train_loss,elapsed_s,seed,val_macro_auc,val_micro_auc
local_C,C,multilabel,1,0.448249854201818,29.812449233606458,42,0.5918571845772401,0.7053743655992868
local_C,C,multilabel,2,0.4419538038272927,29.983814446255565,42,0.5980153004323854,0.7087164161116617
local_C,C,multilabel,3,0.4402845830377871,29.601306072436273,42,0.6031471790517133,0.7119074423961798
local_C,C,multilabel,4,0.4391946565278255,29.973066778853536,42,0.6039667993531386,0.7123196874532548
local_C,C,multilabel,5,0.43864895349001365,29.775260424241424,42,0.6065530268346437,0.7128789894002414
local_C,C,multilabel,6,0.43829861576974827,29.41645175497979,42,0.6058862454969968,0.7125276925859846
local_C,C,multilabel,7,0.4378209129302171,29.79995879996568,42,0.6048786806272304,0.7152795255077486
local_C,C,multilabel,8,0.43720590296017864,29.649860855191946,42,0.6075054316444537,0.7156405816170797
local_C,C,multilabel,9,0.43675951181101974,29.9485566560179,42,0.6104492561523372,0.715173218809807
local_C,C,multilabel,10,0.43640152838108315,30.064623727463186,42,0.6115586581794258,0.7156625195817374
local_C,C,multilabel,11,0.4362570126778888,29.89270261116326,42,0.6147972493326544,0.7176366775587744
local_C,C,multilabel,12,0.435603137977802,29.64622121863067,42,0.6147672452254876,0.7173832245394965
local_C,C,multilabel,13,0.4351912166950476,29.74765019584447,42,0.6166849757810344,0.7195605339950061
local_C,C,multilabel,14,0.4349566438119777,29.570681777782738,42,0.6136817006554068,0.7173962749836973
local_C,C,multilabel,15,0.4342905906212591,29.83969776239246,42,0.6164877952380414,0.7197633102977471
local_C,C,multilabel,16,0.43378204400957066,29.72975027281791,42,0.6189902190540942,0.7184113311028176
local_C,C,multilabel,17,0.4334707044771988,29.617832568474114,42,0.6203625603006796,0.7197727351338354
local_C,C,multilabel,18,0.4327976594876199,29.825795229524374,42,0.6197819970641786,0.720323932630642
local_C,C,multilabel,19,0.43278423462906024,29.48019649926573,42,0.6207132813897884,0.7211140080058023
local_C,C,multilabel,20,0.4323733501190687,29.741376572288573,42,0.621100540624896,0.7216792709571223
local_C,C,multilabel,21,0.43181580696662847,29.73688283469528,42,0.6186719848037119,0.7191556750283769
local_C,C,multilabel,22,0.4315742601225846,29.664905259385705,42,0.6217078217311507,0.7214405577634647
local_C,C,multilabel,23,0.4310688415583033,29.68948168773204,42,0.621604555244478,0.7210406502439918
local_C,C,multilabel,24,0.4310571389259213,29.842532265931368,42,0.6204958053169652,0.7217568287239985
local_C,C,multilabel,25,0.4303637152388148,29.72060157265514,42,0.6211332098782971,0.722137496126783
local_C,C,multilabel,26,0.4301960807647148,29.71928988583386,42,0.6219878128346255,0.7222961071204772
local_C,C,multilabel,27,0.42970677318364164,29.76658982411027,42,0.6190014713957352,0.7207598599286932
local_C,C,multilabel,28,0.42884154683046966,29.990065743215382,42,0.6215214370015704,0.7207392212644859
local_C,C,multilabel,29,0.42853494064651265,29.839453839696944,42,0.6209392319116582,0.7220722511766275
local_C,C,multilabel,30,0.4281505746562986,29.6043190471828,42,0.6202298721406874,0.7205445828578236
local_C,C,multilabel,31,0.42793263125158576,29.791802264750004,42,0.6215057004666937,0.7212123436736156
local_C,C,multilabel,32,0.4273620543688753,29.734718372114003,42,0.6187494211121313,0.719693621042049
local_C,C,multilabel,33,0.42654138607700376,29.521508852019906,42,0.6204441750486542,0.7217427665413664
local_C,C,multilabel,34,0.42615056375082394,29.908437519334257,42,0.6209810825917791,0.7208121903994967
local_C,C,multilabel,35,0.4257275292473118,29.856839354149997,42,0.6224528397069667,0.72152937989085
local_C,C,multilabel,36,0.42522954897288856,29.940736678428948,42,0.6174133730382638,0.7183865949524944
local_C,C,multilabel,37,0.42474736925894324,30.114696972072124,42,0.6171537394493852,0.7193512910004873
local_C,C,multilabel,38,0.4240439499381685,29.651966686360538,42,0.6198735988300009,0.7199685946793375
local_C,C,multilabel,39,0.42364546689238863,30.0707762632519,42,0.6181607538882744,0.7188789727470923
local_C,C,multilabel,40,0.4232471858280419,29.687133730389178,42,0.614729108139785,0.7166849425235577
local_C,C,multilabel,41,0.4223392084784751,29.612534421496093,42,0.6120734011014083,0.7156401766308731
local_C,C,multilabel,42,0.4216442139696901,30.117353538051248,42,0.6179294570388446,0.7188446652531033
local_C,C,multilabel,43,0.4207494944116495,29.80894941277802,42,0.6148441954311372,0.7172735554381227
local_C,C,multilabel,44,0.42043456076270475,29.87251938227564,42,0.615217458553178,0.7161872955457674
local_C,C,multilabel,45,0.41996886782402537,29.925977615639567,42,0.6156743942841558,0.7169345005498229
local_C,C,multilabel,46,0.41908130234610425,29.56438204832375,42,0.6112256736681843,0.7141679928765239
local_C,C,multilabel,47,0.41839758181658976,30.1472642486915,42,0.6127921642188189,0.7151225053754902
local_C,C,multilabel,48,0.4177640853789601,29.84332706965506,42,0.6097488708948672,0.7125252092280165
local_C,C,multilabel,49,0.41695119755981613,29.705942519009113,42,0.614811247333395,0.7119893143204277
local_C,C,multilabel,50,0.4159257559880723,29.89497941918671,42,0.6105608241368548,0.712973891410317
local_C,C,multilabel,1,0.44925396416309105,29.79052497446537,123,0.5924241239005211,0.7048093734870367
local_C,C,multilabel,2,0.44221267495712224,29.61773511208594,123,0.6041712916314615,0.7121287240964678
