round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
1,42,0.5,uniform,0.5394483207879752,0.1607730373265943,0.4688936646261566,0.096546015792808,0.5407757648591492,0.1081945839887257,0.1081945839887257,0.1081945839887257,1.0428980448360528,0.4097245260747759,1.3616347404026048,0.4648330078895435,6.6,-0.0404124818742275,-0.0622990876436233,0.020600575953722,1.0833079814910889,0.8943412899971008,0.8908229470252991
2,42,0.5,uniform,0.4929384461082732,0.1461701098851932,0.5140978273943527,0.1063969676651513,0.5487785779460842,0.1135219167661716,0.1135219167661716,0.1135219167661716,0.9182809432521136,0.3978694184117963,1.3606835218496198,0.4491623594511024,6.0,,,,1.128944993019104,0.810296893119812,0.8095015287399292
3,42,0.5,uniform,0.4896779858119163,0.1419836109806835,0.4741764248177964,0.1003913500902402,0.5445928558938347,0.1188492495436176,0.1188492495436176,0.1188492495436176,0.8507176135304714,0.398740513876536,1.355083835177026,0.4489916436797146,6.0,,,,1.151996612548828,0.7465215921401978,0.7503695487976074
4,42,0.5,uniform,0.4902011255835341,0.1412731605200949,0.4448870694252405,0.0930765160631573,0.5459777910583558,0.1241765823210636,0.1241765823210636,0.1241765823210636,0.814227736412698,0.398134263842387,1.3547343739255546,0.4483202609953401,5.9,,,,1.1604516506195068,0.6999924778938293,0.7111120820045471
5,42,0.5,uniform,0.5258862554188284,0.1565866826999296,0.4605235286666645,0.0969917641505669,0.5417029075418307,0.1295039150985096,0.1295039150985096,0.1295039150985096,0.8032658430686684,0.3989394456798853,1.3588567092429082,0.4508102454212555,5.9,,,,1.1653751134872437,0.6693211793899536,0.6890677809715271
6,42,0.5,uniform,0.5282532962803763,0.1541573323023579,0.4985944217543703,0.1079511713363849,0.537424433787098,0.1348312478759555,0.1348312478759555,0.1348312478759555,0.7869296539818876,0.3978191112456884,1.3393384239038526,0.4488512561310847,6.0,0.0127840070053935,-0.3953593671321869,-0.0137021513655781,1.159178376197815,0.6491536498069763,0.677365779876709
7,42,0.5,uniform,0.4991211585046866,0.1495100193594955,0.5463548103134637,0.1483282817275992,0.5419644808371592,0.1401585806534015,0.1401585806534015,0.1401585806534015,0.7893507651106239,0.3976092996425504,1.3519440275092311,0.4486101259310693,6.0,,,,1.1629207134246826,0.6388890147209167,0.6718279123306274
8,42,0.5,uniform,0.4796675230164839,0.132409416304344,0.4593691556205567,0.0954136509341052,0.5213471966554664,0.1454859134308475,0.1454859134308475,0.1454859134308475,0.7866183905882607,0.3979248924416746,1.345518041646116,0.4482678817869794,6.0,,,,1.1630115509033203,0.634568452835083,0.6702070236206055
9,42,0.5,uniform,0.507554288246682,0.1516884161137922,0.527580947150045,0.1100729523898154,0.5476250463311179,0.1508132462082934,0.1508132462082934,0.1508132462082934,0.7909075006126837,0.3971094830067397,1.3578257269213814,0.4490150862645894,5.9,,,,1.1626930236816406,0.6320221424102783,0.6705507040023804
10,42,0.5,uniform,0.5052992892629727,0.1425020299635734,0.5053466259203317,0.1056840551798223,0.5488663118636966,0.1561405789857394,0.1561405789857394,0.1561405789857394,0.7847660185207966,0.3980622024124887,1.3389029385741622,0.4487503211310857,5.9,,,,1.1577811241149902,0.6314105987548828,0.6701158881187439
11,42,0.5,uniform,0.4959798207996374,0.1476381688974519,0.4624192763800053,0.0974734892066795,0.5417988740952557,0.1614679117631854,0.1614679117631854,0.1614679117631854,0.7898440027861616,0.3983578968256321,1.349346529968961,0.449449474634562,6.0,0.0036028041504323,0.7141372561454773,0.0012292703613638,1.1631574630737305,0.6295831799507141,0.6705434322357178
12,42,0.5,uniform,0.5104515495933171,0.1549508188370316,0.5390868903883144,0.1134077345627741,0.5379264514912088,0.1667952445406313,0.1667952445406313,0.1667952445406313,0.7908032224167902,0.3974143696794343,1.356838347349625,0.4488966941312931,5.9,,,,1.1623164415359497,0.6315509080886841,0.6696456074714661
13,42,0.5,uniform,0.5125441086797885,0.1531456483390835,0.4896069170841889,0.0992926667135601,0.5421942366350472,0.1721225773180773,0.1721225773180773,0.1721225773180773,0.7846098402962414,0.3970603796462305,1.3458558427714884,0.4474228391480758,5.9,,,,1.159260869026184,0.6303835511207581,0.668048083782196
14,42,0.5,uniform,0.4767594323433662,0.1271377577768037,0.4587438036937808,0.0930526205427545,0.5442773209920763,0.1774499100955233,0.1774499100955233,0.1774499100955233,0.7886589012031472,0.397207860082518,1.3541322449409283,0.4481105374977578,5.9,,,,1.162010669708252,0.6299892663955688,0.6695964932441711
15,42,0.5,uniform,0.5225808117663131,0.1516820483260863,0.5461914204908932,0.1191322349179931,0.5422373850685165,0.1827772428729693,0.1827772428729693,0.1827772428729693,0.7884094828341205,0.3978832647790034,1.350290068112086,0.4484131878900736,6.0,,,,1.1620240211486816,0.6310999989509583,0.6694251298904419
16,42,0.5,uniform,0.5416425089383594,0.17571320472144,0.5091242837724634,0.1086276543816392,0.5432709741599322,0.1881045756504152,0.1881045756504152,0.1881045756504152,0.7881457769194025,0.3973208012539226,1.3544929009337612,0.4474160149368136,6.0,0.066358707845211,-0.3434092104434967,-0.001559161581099,1.161068320274353,0.6312081217765808,0.6687754392623901
17,42,0.5,uniform,0.5354356388136389,0.1672555770649374,0.4948721142004383,0.1068923300474142,0.536582523386178,0.1934319084278612,0.1934319084278612,0.1934319084278612,0.7904183639449324,0.3976671909791413,1.353616486209969,0.4493390424543073,6.0,,,,1.1631789207458496,0.6307372450828552,0.6692798137664795
18,42,0.5,uniform,0.5206415293008253,0.1608503173056965,0.458725176189579,0.0981514899980811,0.5426606091394078,0.1987592412053072,0.1987592412053072,0.1987592412053072,0.7899628599137718,0.3973800210713299,1.3570935486706064,0.4481283164701087,6.0,,,,1.1657480001449585,0.6308997869491577,0.667801022529602
19,42,0.5,uniform,0.5314004651612236,0.1655665004090409,0.4917661109283842,0.0990016241476201,0.545476092666803,0.2040865739827532,0.2040865739827532,0.2040865739827532,0.7859943307383092,0.3972828813124952,1.3492869141320474,0.4472600592536176,6.0,,,,1.162732720375061,0.6301548480987549,0.6678919792175293
