embed_dim,epsilon_level,task_config,task_count,seed,sigma,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc,convergence_round,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno
32,1.0,all_tasks,3,123,6.5625,0.6794582167586416,0.5186951139975382,0.5537959249160683,9,0.00901042522930699,0.06696601175680393,0.001554101149029121
64,1.0,all_tasks,3,7,6.5625,0.7392883540182559,0.49088697157869593,0.5596117398896742,25,0.0012353951304976364,0.0100186111102812,0.00033573551336303354
32,1.0,all_tasks,3,7,6.5625,0.7015285832830758,0.4757060544542632,0.5474586788111584,17,0.02573278670000737,0.03083494808677523,-0.0005569585038875764
128,1.0,all_tasks,3,7,6.5625,0.7285315896631313,0.43201599272473407,0.5650446343516008,24,0.0001844092578348214,7.904720801629342e-05,-0.0005133904231735249
64,1.0,ihm_decomp,2,42,6.5625,0.7725888877300697,0.47459455549227464,0.49995473745619207,22,0.009725141915719417,,
32,1.0,ihm_decomp,2,42,6.5625,0.7651804054758742,0.4909317530451397,0.4918410487881017,18,-0.035894446964246325,,
128,1.0,ihm_decomp,2,42,6.5625,0.7546603425368769,0.4723537598059929,0.49803514377555885,39,0.03671296799171614,,
64,1.0,ihm_decomp,2,123,6.5625,0.7737941604581668,0.490206063640205,0.5032853766605354,22,0.0015049877971329768,,
32,1.0,ihm_decomp,2,123,6.5625,0.759866866789703,0.5390276221270967,0.5031479823546388,25,0.0041853256161049745,,
128,1.0,ihm_decomp,2,123,6.5625,0.7745613995311316,0.5315743785710348,0.5010726639794187,41,-0.00041501847627387176,,
32,1.0,ihm_decomp,2,7,6.5625,0.762722247665861,0.5028223806286858,0.5037624455620704,24,0.07183205540235521,,
64,1.0,ihm_decomp,2,7,6.5625,0.7473579678140487,0.46401981407653725,0.5093139382879258,24,0.01591114569853981,,
128,1.0,ihm_decomp,2,7,6.5625,0.7559662813844766,0.46085066414359466,0.5067328831535038,43,-0.0023447550632795357,,
32,1.0,ihm_only,1,42,6.5625,0.7768694650638686,0.5302286380922636,0.49852957939208914,25,,,
64,1.0,ihm_only,1,42,6.5625,0.7655136919526053,0.4707175139167019,0.5040698532321145,37,,,
128,1.0,ihm_only,1,42,6.5625,0.7691698672748956,0.4690330418327791,0.5000668100664625,31,,,
32,1.0,ihm_only,1,123,6.5625,0.7792020169499981,0.5279103360217523,0.5010213935774556,24,,,
