model,site,task,epoch,train_loss,elapsed_s,seed,val_auc_roc,val_auc_pr
local_A,A,binary,1,0.38628008184225665,25.46373953006696,42,0.6851729913937503,0.2949943099949135
local_A,A,binary,2,0.37348360464624736,25.440798124065623,42,0.7064472609352178,0.3134478940595426
local_A,A,binary,3,0.3657133563057236,25.46127616101876,42,0.7014460644767351,0.31547673275579763
local_A,A,binary,4,0.36116264086702593,25.52911443298217,42,0.7270894703402068,0.3311112274297403
local_A,A,binary,5,0.36096495221490443,25.48015150008723,42,0.7460289955524751,0.3521058995749017
local_A,A,binary,6,0.35368915297414943,25.437303373008035,42,0.7567393618337995,0.3657595134899486
local_A,A,binary,7,0.34766426688950997,25.445589419919997,42,0.768665990048766,0.3877122954055053
local_A,A,binary,8,0.343173857551554,25.45347185607534,42,0.7726943419890917,0.40869539158346185
local_A,A,binary,9,0.34049617227004925,25.474841858027503,42,0.7665338185178768,0.4051134241723228
local_A,A,binary,10,0.3405148854074271,25.377185806049965,42,0.7682319644198001,0.41346981360670676
local_A,A,binary,11,0.3367726992653764,25.35021629196126,42,0.7499690571082009,0.401711837080597
local_A,A,binary,12,0.3382113742439643,25.459870519000106,42,0.7867556171662913,0.422975296595703
local_A,A,binary,13,0.33800609954025435,25.483030120958574,42,0.7768245991864082,0.42010158781011175
local_A,A,binary,14,0.33787428937528446,25.470279109897092,42,0.775027848602619,0.4199562391954875
local_A,A,binary,15,0.33371848133595094,25.408304997021332,42,0.7701264945416739,0.42541436962386875
local_A,A,binary,16,0.33472455772368803,25.454292703070678,42,0.7736131395895735,0.4259079385553604
local_A,A,binary,17,0.33456514445335966,25.44912020105403,42,0.7753830730004704,0.4226424705809015
local_A,A,binary,18,0.3331184455881948,25.443328904919326,42,0.7813059550626698,0.4305512134965692
local_A,A,binary,19,0.3341443522468857,25.45582810405176,42,0.7782162041735772,0.42949550147699084
local_A,A,binary,20,0.3324789154140846,25.48602029599715,42,0.7793404625756039,0.4292734224551825
