model,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
VFL-MTL,42,1,2.2169358766755685,0.39087160452224284,1.360677203236709,0.46538706130335944,6.1,0.6885760601910627,0.2973527380032961,0.4621223007415875,0.09542616574428557,0.549893959097946
VFL-MTL,42,2,2.166471075803432,0.3772442103993945,1.341798189946137,0.4474286671288669,5.5,0.7112176827907009,0.31730570319420137,0.4875557627643642,0.10756859928366695,0.5630118852970633
VFL-MTL,42,3,2.170292870446584,0.36957636208773703,1.3559306024463937,0.44478591378599275,5.5,0.7182642422303748,0.3284978686293247,0.5347972422778351,0.11686940252246847,0.5793426524679972
VFL-MTL,42,4,2.161922476177132,0.3637153943553242,1.3554597744254566,0.44274730726621037,5.5,0.7171463225273316,0.3379857928604716,0.6127751681531415,0.16728356776890962,0.5812035279364329
VFL-MTL,42,5,2.1675661823114454,0.36449545433167285,1.358767542256018,0.44430318422713133,5.5,0.7177535978354674,0.32570469615871495,0.5773839745984708,0.14704278010041197,0.5854026195545878
VFL-MTL,42,6,2.1446161577274707,0.3630937365205007,1.3392198517853515,0.4423025698120417,5.5,0.7140724598565198,0.3201893164305881,0.40930800418533403,0.08665127791747276,0.588422645500644
VFL-MTL,42,7,2.161923264051629,0.3640459265120685,1.355742707067702,0.44213463463637503,5.5,0.7216321627664432,0.3348869001700615,0.34465246931517846,0.07574947319669656,0.5859883471053358
VFL-MTL,42,8,2.142850548419369,0.35735696228831093,1.3446277413826322,0.4408658452689908,5.6,0.7371955709720736,0.3386662016765803,0.4328483795667988,0.10087603169339115,0.5894430454881774
VFL-MTL,42,9,2.1517725433324624,0.35440272235974474,1.3566685998283619,0.44070122166492015,5.6,0.7433549586652939,0.35551034210825144,0.6371218483593426,0.23538561506069447,0.5889504215025528
VFL-MTL,42,10,2.1356617795327866,0.35654499332977696,1.3386064739206471,0.4405103018710707,5.6,0.7406026436885019,0.3511562919294277,0.41503782447781784,0.09594239087526732,0.5918377967208036
VFL-MTL,42,11,2.1476350189817004,0.3578508788451357,1.3490154602642144,0.44076868306080846,5.6,0.7498075711986564,0.3575391949202119,0.3830203380413019,0.08988500126403692,0.5933706369507912
VFL-MTL,42,12,2.1508606208984506,0.35463431640223125,1.3560698776786504,0.4401564285744746,5.6,0.7538723172426203,0.3842449086550729,0.6572384884685104,0.18130595471610378,0.5988721606375982
VFL-MTL,42,13,2.1340000494078257,0.3497929433808056,1.3456500245494092,0.43855707926521137,5.6,0.7736162619830661,0.38671130631492806,0.39572536033576344,0.08274194886410322,0.5940370008066508
VFL-MTL,42,14,2.138392809176549,0.3440409703546216,1.3546381014923863,0.43971373160333094,5.5,0.7732380685812916,0.39648402276203476,0.3475365391800279,0.07789452315324094,0.6004796852730003
VFL-MTL,42,15,2.128221658119468,0.34081717011189355,1.3485793552023875,0.4388251378806918,5.6,0.7814325366281143,0.4051072280983722,0.5258704100499111,0.12074367636994876,0.5993584955772704
