n_sites,seed,convergence_round,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
2,42,45,1,0.8215117103147715,0.3892889656614528,1.3445276878286136,0.6959977449288014,4.6,1.0797548294067383,0.8929882049560547,1.0,0.6863739583020949,0.2910200061118135,0.5979487392372942,0.13751524625814607,nan
2,42,45,2,0.748992552142997,0.3778468501229474,1.3437933494951007,0.7172101907855039,4.0,1.1271358728408813,0.8085257411003113,1.0,0.693423433329668,0.30347114089858396,0.536355033843514,0.12302951024364704,nan
2,42,45,3,0.7071673897416311,0.3749566900678077,1.3490214537845429,0.7158111169869202,4.0,1.1490446329116821,0.7422704696655273,1.0,0.7042919119925628,0.3128749438550787,0.5211118810479514,0.11536216966828428,nan
2,42,45,4,0.6770955136769724,0.36719800531864166,1.357553131975982,0.714999119267193,4.0,1.1615839004516602,0.6913055181503296,1.0,0.6958075512060538,0.31821846360130235,0.5569969695711735,0.12707223605836146,nan
2,42,45,5,0.6539351358424108,0.3652663003148991,1.3413346737753356,0.7147335269565666,4.0,1.1595388650894165,0.6549594402313232,1.0,0.7414352522899861,0.3483736950628274,0.5146300418001195,0.12032275650807048,nan
2,42,45,6,0.646746929295719,0.36105883225603397,1.3549938451775296,0.7120004949611347,4.0,1.1600383520126343,0.6290830969810486,1.0,0.7617335752438265,0.3795808807818401,0.5045951391793893,0.11220524746035415,nan
2,42,45,7,0.6345685195974908,0.3536549715496047,1.356465707960087,0.7111624955610417,4.0,1.1651514768600464,0.6129071712493896,1.0,0.7528689384927578,0.35680314372537913,0.5360202709822869,0.11959083260234868,nan
2,42,45,8,0.6311147819439917,0.3522475094383981,1.3558845085348104,0.7094919481131707,4.0,1.1633127927780151,0.6034309267997742,1.0,0.7721076535015379,0.39538227467265863,0.4868601585360272,0.10294415363231643,nan
2,42,45,9,0.623140373604787,0.34890415477180065,1.3481104980389624,0.7071501164977727,4.0,1.1635420322418213,0.5967793464660645,1.0,0.7604977824871464,0.38744151446000097,0.4754622548221286,0.10879557213752515,nan
2,42,45,10,0.6195668738221497,0.34461626761865405,1.3553432124670937,0.7045164017177565,4.0,1.1642287969589233,0.5909074544906616,1.0,0.7793249830895902,0.41312299170567035,0.5078602745587677,0.11477215480380701,nan
