n_sites,seed,convergence_round,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
2,42,51,1,0.7816175978516907,0.3897466710951651,1.3443581261489068,0.045285737033748864,4.8,1.0799037218093872,0.8929417133331299,0.8833358287811279,0.6912958871884071,0.2806108946820288,0.6272104194807504,0.1470216103748014,nan
2,42,51,2,0.5647615938728032,0.37563391316145267,1.3427217943699599,0.0001690743806985828,4.2,1.1259610652923584,0.8082496523857117,0.7859048843383789,0.6662318275571372,0.2951922810005072,0.6861638092075221,0.17452135613761455,nan
2,42,51,3,0.395513883194028,0.37547127394957314,1.3136164272716473,7.963359188396796e-05,4.2,1.1400607824325562,0.7424427270889282,0.7000322341918945,0.7067609984305807,0.31518309577062087,0.5615005678727709,0.13199025296151862,nan
2,42,51,4,0.2552775015737292,0.3700182950002137,1.3284532183122426,6.394594438669863e-05,4.2,1.1496621370315552,0.6922126412391663,0.6238288879394531,0.7308770754820716,0.33194110440052543,0.6808805168014765,0.16579201975345517,nan
2,42,51,5,0.10188135010186242,0.3663896447836572,1.277080224591051,2.5299683055361156e-05,4.2,1.136873483657837,0.6557376980781555,0.5560513138771057,0.7376320761318313,0.3384252169635842,0.6084062200962032,0.1441740270932478,nan
2,42,51,6,-0.02892646089391417,0.3619591770734329,1.268867627241726,1.1154918421370854e-05,4.2,1.1258820295333862,0.6300268173217773,0.49570974707603455,0.7212972866705986,0.3442073017884914,0.682918365761157,0.1820176781581037,nan
2,42,51,7,-0.1561228488470269,0.3573458040515408,1.2603080577204842,5.686997160516837e-06,4.2,1.1251678466796875,0.6148335933685303,0.4419596195220947,0.7595314733548588,0.3716953617137893,0.686818432926615,0.1853203929414469,nan
2,42,51,8,-0.28740178029089514,0.35195799881193834,1.2400895817831614,1.9436170368247207e-06,4.2,1.1156752109527588,0.6041079759597778,0.39406415820121765,0.7718585789924394,0.3915822315190088,0.684127556891059,0.18502121746332134,nan
2,42,51,9,-0.4068491225940171,0.3489263045996037,1.2401438787514465,1.173041364926641e-06,4.2,1.117600917816162,0.5968592166900635,0.35137614607810974,0.7709905668236087,0.3788932969931815,0.697510620338467,0.1947361781586135,nan
2,42,51,10,-0.5280683714750032,0.34356170801616653,1.2432034788693924,2.2531676496237794e-06,4.2,1.1161510944366455,0.5901991724967957,0.3133244812488556,0.778349094168491,0.4067446693949227,0.6895433706841404,0.1960027311100077,nan
2,42,51,11,-0.6479341431996708,0.3413589959191443,1.2384670704733336,4.238072001887886e-07,4.2,1.1166964769363403,0.5856761336326599,0.27940014004707336,0.7651802166531717,0.4107464645987654,0.6963450707898382,0.19857084725923055,nan
2,42,51,12,-0.774124724375629,0.3383545927605775,1.220669036088552,1.5445595018992987e-07,4.2,1.108492136001587,0.583462655544281,0.24915407598018646,0.7796840169137419,0.42991474439311195,0.6880733944954127,0.18683261326481856,nan
2,42,51,13,-0.8889192043433544,0.33789885310887247,1.221942204315069,1.2946158178671614e-07,4.2,1.1076021194458008,0.5808792114257812,0.22218647599220276,0.7756621716631513,0.41707695197036954,0.6937787329252313,0.1960325613631864,nan
2,42,51,14,-1.0052683108758718,0.33735752151262294,1.2195346295573306,1.3181358447636592e-07,4.2,1.1058100461959839,0.581165611743927,0.19813936948776245,0.7745575803619329,0.42605394841519345,0.686640673315089,0.18419870374093344,nan
2,42,51,15,-1.1078565914558012,0.34255456664156186,1.2299176355636796,1.2518161383946414e-07,4.2,1.1070207357406616,0.5821896195411682,0.1766958087682724,0.7815637380835757,0.4046156990250596,0.6916860658817569,0.19556333424721042,nan
2,42,51,16,-1.22922381771704,0.33976434659229093,1.2231805269895162,7.831542514508442e-07,4.2,1.1068283319473267,0.5831562280654907,0.15757670998573303,0.7743318305560276,0.41275225321730213,0.6961736977511812,0.18499424471112605,nan
2,42,51,17,-1.3454519851238966,0.3391239097805523,1.2213993369231577,2.194178047424573e-07,4.2,1.1040244102478027,0.5833719968795776,0.1405261605978012,0.7746150590948014,0.42077046368068494,0.7013202110549448,0.2068407238139227,nan
2,42,51,18,-1.4648558932100322,0.3364180633594896,1.2191766781577897,5.319815693312437e-07,4.2,1.1024588346481323,0.5817005038261414,0.12532281875610352,0.7884965895951832,0.42994200093961993,0.6986825564599651,0.2016168293567277,nan
2,42,51,19,-1.585295375778165,0.33715632134910234,1.2021910743421862,2.4683626404063133e-09,4.2,1.0996450185775757,0.5803976655006409,0.1117653176188469,0.7775464744711124,0.415247774638014,0.6959491032719477,0.19167258407770318,nan
