source,config,seed,epsilon,delta_m,eta_priv,eta_comm,pcmu,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc
exp1,ST-Decomp,7,inf,0.0,0.7627104538722443,1.0185695809945732,-1.035272123353379,0.5342119249211126,0.7040259890938625,0.5165359800072958
exp1,ST-Decomp,42,inf,0.0,0.6341198505384649,1.3034067013141228,-1.2397353307255092,0.5117527348214495,0.5853294034621612,0.5037532989939434
exp1,ST-Decomp,123,inf,0.0,0.6588896166587889,0.9597758438138939,-1.2784579418528805,0.5507416422590308,0.6081933343338963,0.5141762901050531
exp1,ST-IHM,7,inf,0.0,0.9214863964831042,0.6931471805599453,-0.7757055364190895,0.8046397832801864,0.5234663975790631,0.5108161085639239
exp1,ST-IHM,42,inf,0.0,0.9116039754036535,0.6931471805599453,-0.7973399630465723,0.7960104761238342,0.4940157812215598,0.5039119605581084
exp1,ST-IHM,123,inf,0.0,0.9082382855138665,0.6931471805599453,-0.8047080735921619,0.7930715635214971,0.4927554975087044,0.5091538790562918
exp1,ST-Pheno,7,inf,0.0,0.9419327698421156,1.0986122886681098,-0.6212710817252682,0.5339599348241151,0.4932669555526461,0.6214380728079302
exp1,ST-Pheno,42,inf,0.0,0.941205316236546,0.7582864827309068,-0.7149177906174589,0.5169895472008691,0.4410162740520995,0.6209581368919326
exp1,ST-Pheno,123,inf,0.0,0.9457255498671402,0.6931471805599453,-0.7226415978170742,0.5016127366207837,0.5129450509914623,0.623940351085955
exp1,VFL-MTL,7,inf,0.015893539250939927,0.8840692989515819,0.7722157040356383,-0.508175482199809,0.8001880970707504,0.7298767072107601,0.6223413541308773
exp1,VFL-MTL,42,inf,0.003327287078732297,0.8582477601830361,0.6931471805599453,-0.8454685146277701,0.8017125330294459,0.6500738181380799,0.6198410006931873
exp1,VFL-MTL,123,inf,0.014143652626462331,0.8794015850579405,0.5908683314395271,-0.6035654287257597,0.7991343203014885,0.7277233677250282,0.6112428682197543
