embed_dim,epsilon_level,task_config,seed,round,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc,train_loss
128,inf,all_tasks,42,1,0.645651631743383,0.5817175644393819,0.5285680371873043,1.1020125736270034
128,inf,all_tasks,42,2,0.7015163401063796,0.5465692803733166,0.5501246159592427,1.0319399823222244
128,inf,all_tasks,42,3,0.7120078356330857,0.6573815932097518,0.5448420105424973,0.9742989738782247
128,inf,all_tasks,42,4,0.7168543198008442,0.6485424206793923,0.5544310210326309,0.9343776838821277
128,inf,all_tasks,42,5,0.7405961066698106,0.6916382667964945,0.5649479453130027,0.8916860233273423
128,inf,all_tasks,42,6,0.7472663707143214,0.68215091124543,0.5731240798925812,0.8502838820741888
128,inf,all_tasks,42,7,0.7196883884805311,0.6886310190883871,0.571780341661463,0.8213985844662315
128,inf,all_tasks,42,8,0.7674277085761186,0.7027526822950159,0.5791517621845458,0.7984669595433954
128,inf,all_tasks,42,9,0.7755861987657064,0.7013730686557293,0.5845478358932842,0.7702705891508805
128,inf,all_tasks,42,10,0.7843169441030966,0.6885391596700409,0.5841153136561378,0.7634220259231433
128,inf,all_tasks,42,11,0.78079725752842,0.6859383898881153,0.5867275308110189,0.73984925684176
128,inf,all_tasks,42,12,0.7799919285724002,0.6925315996399112,0.5867371061361614,0.7126795492674175
128,inf,all_tasks,42,13,0.7782815114428357,0.6990828985320865,0.5903232088577017,0.7027358109490913
128,inf,all_tasks,42,14,0.7899551536972126,0.6996380738917162,0.5966043728066661,0.6851435209575453
128,inf,all_tasks,42,15,0.7776965596673484,0.6963035770057504,0.5988939089662704,0.675015742318672
128,inf,all_tasks,42,16,0.7822791353596545,0.6648325402803549,0.5982933830157235,0.6711909802336442
128,inf,all_tasks,42,17,0.7831406922382795,0.6969879296724293,0.5929361633612035,0.6682792096807245
128,inf,all_tasks,42,18,0.7886673528891629,0.6899354228289026,0.6002961953901165,0.655913945352822
128,inf,all_tasks,42,19,0.7840738943731267,0.6893153717550661,0.6016736826757128,0.6443724381296259
128,inf,all_tasks,42,20,0.7622638087162348,0.6681498135253808,0.6000127782365463,0.6442378320192036
128,inf,all_tasks,42,21,0.7889258199527505,0.6811410317649869,0.6039012324802935,0.6522554577442637
128,inf,all_tasks,42,22,0.7921534840906719,0.6887533069390605,0.602174635355956,0.6364755808261403
128,inf,all_tasks,42,23,0.7847957883472165,0.6840782366666055,0.6043532054548953,0.6301257704433642
