task_config,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
ihm_only,42,3,0.3751156305381825,0.3751156305381825,1.372710042645317,0.7483494940282996,5.5,,,,0.6974277850528638,0.3071428513320295,0.4722913213925709,0.0999842285731696,0.4992076226699511
ihm_only,42,4,0.368350443426178,0.368350443426178,1.3810899642877703,0.7586846773280848,5.5,,,,0.7028932628260878,0.3168728674620202,0.47044613404777796,0.09846785298761844,0.4991516875381626
ihm_only,42,5,0.36976681844896625,0.36976681844896625,1.3925525413329944,0.7706256337040897,5.5,,,,0.6926162319941621,0.310033115011238,0.4781089570620062,0.09631453472400728,0.4977019440913529
ihm_only,42,6,0.368067899840888,0.368067899840888,1.438366463090655,0.7867533702517181,5.5,,,,0.6855996614585936,0.30996204621835577,0.4837286089724962,0.09995349100716695,0.4967624235952113
ihm_only,42,7,0.369900189047297,0.369900189047297,1.4406112874959753,0.7809286297148492,5.5,,,,0.7081613136472839,0.3310663499273088,0.48377065391055174,0.09916855275507058,0.5006942588955713
ihm_only,42,8,0.36448932260144745,0.36448932260144745,1.4505202671325883,0.7694426007145877,5.5,,,,0.7168381032351362,0.32762647018325064,0.4748677713308873,0.10112705617234549,0.4978950233465069
ihm_only,42,9,0.36052262913191685,0.36052262913191685,1.4586757681775822,0.7740208746043876,5.5,,,,0.7235781094328432,0.333297811994369,0.46905865109194433,0.1053497143137565,0.4970255532144538
ihm_only,42,10,0.35890109023673045,0.35890109023673045,1.5183583451150287,0.8021361528525707,5.5,,,,0.7286620617038362,0.3433173417688831,0.475121637602438,0.09767310751588962,0.4986656281514814
ihm_only,42,11,0.358941331570846,0.358941331570846,1.544876811285727,0.8153272593906352,5.5,,,,0.7501874306506593,0.3536580927767845,0.47092193372653335,0.09968715437970183,0.5005249886793423
ihm_only,42,12,0.3525612829944452,0.3525612829944452,1.5803477181097305,0.8582848185535081,5.5,,,,0.7700334209675753,0.3898627272569408,0.4706845661015614,0.09602474067491965,0.5037703864693485
ihm_only,42,13,0.3472101397519549,0.3472101397519549,1.6141625085772384,0.8755587284741964,5.5,,,,0.7687022468353377,0.38170771866006314,0.4797348720716233,0.09894364424602706,0.5023988867820052
ihm_only,42,14,0.3419562062842357,0.3419562062842357,1.6402714491931631,0.8815049307835675,5.5,,,,0.7451688708511185,0.3579115805564743,0.4621164463831241,0.0920661154154013,0.5005884123720329
ihm_only,42,15,0.341904542982318,0.341904542982318,1.7132950474601645,0.9086706031878442,5.5,,,,0.781166801616735,0.4239479510800973,0.4747299277997937,0.10103923811064373,0.5001403274037615
ihm_only,42,16,0.3508844624830646,0.3508844624830646,1.7514791983183815,0.9152255375832969,5.5,,,,0.7678450639929892,0.3806447446759553,0.47838836962503356,0.09618537221105189,0.49954223274045695
ihm_only,42,17,0.3467817685879995,0.3467817685879995,1.7901346798026405,0.9316812922860858,5.5,,,,0.7726141327708748,0.3994107279620547,0.4690357658724963,0.09690760414351436,0.5011272220317564
ihm_only,42,18,0.3411372294202122,0.3411372294202122,1.9094137286515216,0.9448816008442874,5.5,,,,0.764659575956896,0.39720268927028474,0.46754396889313243,0.0976008778157183,0.5012886995436756
ihm_only,42,19,0.3404063209565966,0.3404063209565966,1.8267334647574278,0.8876891497961819,5.5,,,,0.7777472335235962,0.40269433129239024,0.4792856831131562,0.10340423003438146,0.5015633658624296
ihm_only,42,20,0.3462612577531015,0.3462612577531015,1.7359413184453307,0.8609270554963158,5.5,,,,0.7484555714385677,0.3465160275027488,0.48765848014467716,0.10220470714906645,0.5003921913598418
ihm_only,42,21,0.34455416022950386,0.34455416022950386,1.7523444812891265,0.8658680345814301,5.5,,,,0.781428371502544,0.40912886567521595,0.4727341237781688,0.09502018949784298,0.5015076904470009
ihm_only,42,22,0.34342728965147096,0.34342728965147096,1.766271229394138,0.8674831666280088,5.5,,,,0.7655983952604203,0.40791901598555563,0.46295947400185844,0.09413010407669678,0.501549508803206
ihm_only,42,23,0.33988451599814484,0.33988451599814484,1.8559043797863624,0.8875841878387085,5.5,,,,0.7711405113441359,0.421193767123902,0.47222692344947315,0.09901271854365903,0.500000404092322
ihm_only,42,24,0.33982551429729796,0.33982551429729796,1.9540132861991115,0.9000309424629378,5.5,,,,0.7714070793806291,0.39261320882713896,0.47704452825047283,0.10042168818741316,0.4999879465606443
ihm_only,42,25,0.33770655804846483,0.33770655804846483,2.0075353009211443,0.8996284218854779,5.5,,,,0.7819048618677755,0.4241849530887626,0.47474163651672063,0.09933859093052291,0.5027987914691125
ihm_only,42,26,0.3365599541684946,0.3365599541684946,1.8403305106808525,0.8307281597212413,5.5,,,,0.7765026940032187,0.4106073213940393,0.4749603766374907,0.09958107298652977,0.500809712639412
ihm_only,42,27,0.3361344034234509,0.3361344034234509,1.890662356755619,0.8385301190692785,5.5,,,,0.7813050837856659,0.41618163184267043,0.4779652591724492,0.09919090089817473,0.49972526171521814
ihm_only,42,28,0.33463353556316494,0.33463353556316494,1.9778863399830449,0.8563657871500373,5.5,,,,0.7750765550079802,0.4087116902312913,0.4724084085618396,0.10008650534258343,0.5000663993503429
ihm_only,42,29,0.33617410512730544,0.33617410512730544,2.228570780379283,0.8977717411049588,5.5,,,,0.7789459566627014,0.4175935069382347,0.4748001801013549,0.10185912964920456,0.5006534857061176
ihm_only,42,30,0.33436384211461095,0.33436384211461095,2.091970794586115,0.8772993056534679,5.5,,,,0.7701350500314883,0.39449062056296785,0.4747735693810666,0.0956951809760882,0.5012651760749329
ihm_only,42,31,0.33575947589228766,0.33575947589228766,1.9596809471538494,0.8470505954917341,5.5,,,,0.7739303124510598,0.41823139716113045,0.4747937935284857,0.0975061662425755,0.5017118175155829
ihm_only,42,32,0.3332601364653183,0.3332601364653183,2.085172326283684,0.8725571879653431,5.5,,,,0.7889039388759493,0.4404211562997323,0.4868298223148986,0.10657954709428441,0.5011345495642501
ihm_only,42,33,0.33227445386903254,0.33227445386903254,2.02048335845814,0.8668986527680309,5.5,,,,0.7861999393557717,0.42612163445661266,0.48007602150571976,0.10316251167791024,0.5025019273542278
